BCW-000270_02495 group_2085
BCW-000212_00299 group_4070
BCW-000212_01267 group_4357
BCW-000270_00669 yxeP_1
BCW-000212_01232 group_5879
BCW-000270_01143 araA
BCW-000270_01145 araB
BCW-000270_01144 araD
BCW-000270_01146 xylT_1
BCW-000270_01147 araR_1
BCW-000270_00164 group_6073
BCW-000270_00166 group_6074
BCW-000270_00163 gmuE_1
BCW-000270_00165 scrB
BCW-000212_00062 group_2985
BCW-000270_01318 lacR
BCW-000270_01315 lacC_1
BCW-000270_01317 group_3486
BCW-000270_01316 lacB
BCW-000212_01947 xpkA
BCW-000212_00059 group_2984
BCW-000608_01917 xerD_2
BCW-000212_00008 group_2270
BCW-000271_00690 group_3569
BCW-000270_01314 lacD
BCW-000271_02356 group_5104
BCW-000271_00112 group_731
BCW-000212_00507 arcC1_3
BCW-000212_00010 group_2272
BCW-000271_00799 group_3573
BCW-000271_00596 group_4930
BCW-000212_00007 clpP_2
BCW-000212_01936 group_1219
BCW-000212_00505 group_4133
BCW-000271_02489 comEC_1
BCW-000271_02187 patB
BCW-000271_00876 group_3579
BCW-000271_00666 group_4936
BCW-000271_00109 degA_1
BCW-000212_00506 group_2375
BCW-000212_00508 aguA
BCW-000271_00409 group_1101
BCW-000212_01259 group_289
BCW-000271_01231 group_3612
BCW-000271_01472 group_4996
BCW-000271_00255 group_6331
BCW-000212_00700 group_2401
BCW-000212_01940 group_4611
BCW-000271_01542 group_1308
BCW-000212_00013 group_2977
BCW-000271_00598 group_3801
BCW-000271_01484 group_4997
BCW-000271_00877 group_6413
BCW-000212_01945 araR
BCW-000212_01943 mngB
BCW-000212_00107 mntH_2
BCW-000271_00110 rpe_1
BCW-000212_00006 group_3973
BCW-000271_01593 group_5009
BCW-000271_01363 group_6485
BCW-000212_02220 group_2630
BCW-000212_01944 group_4613
BCW-000271_01227 csbB_1
BCW-000271_00111 rpiB
BCW-000271_00259 group_430
BCW-000271_01758 tarF
BCW-000271_01364 group_6487
BCW-000212_01942 group_3337
BCW-000212_01946 group_5437
BCW-000271_02357 rhaR_2
BCW-000271_00299 group_3550
BCW-000270_01313 lacF_1
BCW-000271_02355 group_5103
BCW-000271_01365 group_6489
BCW-000212_01950 group_3339
BCW-000212_01941 araQ
BCW-200077_00352 group_1793
BCW-200051_01662 group_3912
BCW-200051_00577 group_5483
BCW-200051_01072 group_5487
BCW-200051_01186 group_5497
BCW-200077_02286 group_5560
BCW-200051_01425 group_8253
BCW-000271_02412 crr_1
BCW-000270_01910 group_1839
BCW-000631_00227 group_868
BCW-000631_01215 group_1351
BCW-000631_01708 group_894
BCW-000631_02222 group_5436
BCW-000631_01709 group_696
BCW-000631_01216 group_7798
BCW-000631_01217 group_7799
BCW-000631_02797 group_7961
BCW-000631_02798 group_8186
BCW-000271_02354 xynB
BCW-000271_02258 group_5085
BCW-000212_00009 group_2271
BCW-000270_01319 pinR
BCW-000271_01789 group_1295
BCW-000270_01312 lacE
BCW-000271_01818 group_6544
BCW-000271_01317 group_1306
BCW-000212_00011 group_2975
BCW-000271_02435 group_6644
BCW-000271_01310 licT_1
BCW-000212_00012 group_2976
BCW-000272_00416 group_6691
BCW-000271_00294 group_2103
BCW-000271_00667 group_3566
BCW-000271_01161 emrB_3
BCW-000271_00797 licC_1
BCW-000271_01966 xerD_4
BCW-000271_00048 oppC_1
BCW-000271_01121 garK_1
BCW-000271_01829 group_5034
BCW-000212_00103 group_2305
BCW-000271_00669 group_2720
BCW-000270_01637 pcp
BCW-000271_00080 lacX_2
BCW-000271_00079 lacG
BCW-000271_02340 group_917
BCW-000271_00958 comGA
BCW-000273_01465 group_5222
BCW-000270_00618 group_624
BCW-000212_02054 group_1594
BCW-000270_01652 dld
BCW-000213_01858 group_2442
BCW-000213_01857 group_3159
BCW-000212_00535 group_377
BCW-000271_00046 pepO_1
BCW-000212_00005 group_5251
BCW-000271_01496 group_608
BCW-200077_01387 group_1346
BCW-200051_01694 group_5503
BCW-200077_00351 group_173
BCW-200077_01384 bltD
BCW-200077_02530 group_2257
BCW-200158_00358 group_5623
BCW-200051_01177 group_2262
BCW-200158_00365 group_5626
BCW-200051_01676 group_2960
BCW-200077_01391 group_764
BCW-200077_01388 group_2965
BCW-200051_01695 group_8270
BCW-200077_01390 group_301
BCW-200077_01394 group_3932
